Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
lamb-shoulder-blade-(trimmed-to-1-8-fat-choice-grade),244,18.97g,8.04g,0,1.54g,7.76g,71mg,63mg,0g,0g,0,17.01g,0,17mg,1.5mg,234mg,0mcg,0mg
lamb-shoulder-blade-(trimmed-to-1-8-fat-choice-grade-cooked-braised),339,23.88g,9.88g,0,1.97g,9.74g,116mg,75mg,0g,0g,0,28.92g,0,27mg,2.38mg,244mg,0mcg,0mg
lamb-shoulder-blade-(trimmed-to-1-8-fat-choice-grade-cooked-broiled),267,18.5g,7.49g,0,1.3g,7.88g,95mg,83mg,0g,0g,0,23.48g,0,24mg,1.73mg,341mg,0mcg,0mg
lamb-shoulder-blade-(trimmed-to-1-8-fat-choice-grade-cooked-roasted),270,19.19g,7.96g,0,1.58g,7.83g,92mg,67mg,0g,0g,0,22.62g,0,21mg,1.95mg,248mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-4-fat-choice-grade),264,21.45g,9.28g,0,1.71g,8.79g,72mg,61mg,0g,0g,0g,16.58g,0,16mg,1.5mg,230mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-4-fat-choice-grade-cooked-braised),344,24.55g,10.34g,0,2g,10.04g,116mg,75mg,0g,0g,0,28.68g,0,25mg,2.4mg,248mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-lean-only-trimmed-to-1-4-fat-choice-grade),144,6.76g,2.42g,0,0.62g,2.72g,66mg,70mg,0g,0g,0g,19.55g,0,15mg,1.66mg,274mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-lean-only-trimmed-to-1-4-fat-choice-grade-cooked-braised),283,15.89g,6.17g,0,1.38g,6.45g,117mg,79mg,0g,0g,0,32.81g,0,26mg,2.67mg,261mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-lean-only-trimmed-to-1-4-fat-choice-grade-cooked-broiled),210,10.5g,3.88g,0,0.94g,4.24g,93mg,83mg,0g,0g,0g,27.12g,0,21mg,2.19mg,324mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-lean-only-trimmed-to-1-4-fat-choice-grade-cooked-roasted),204,10.77g,4.08g,0,0.95g,4.36g,87mg,68mg,0g,0g,0g,24.94g,0,19mg,2.13mg,265mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-4-fat-choice-grade-cooked-broiled),278,19.26g,8.04g,0,1.58g,7.87g,97mg,78mg,0g,0g,0,24.42g,0,21mg,2.03mg,301mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-4-fat-choice-grade-cooked-roasted),276,19.97g,8.44g,0,1.62g,8.17g,92mg,66mg,0g,0g,0g,22.51g,0,20mg,1.97mg,251mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-8-fat-choice-grade),244,18.96g,8.1g,0,1.52g,7.76g,71mg,63mg,0g,0g,0,17.07g,0,16mg,1.53mg,237mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-8-fat-choice-grade-cooked-braised),338,23.57g,9.71g,0,1.88g,9.72g,117mg,74mg,0g,0g,0,29.46g,0,27mg,2.39mg,261mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-8-fat-choice-grade-cooked-broiled),268,18.39g,7.53g,0,1.34g,7.75g,95mg,82mg,0g,0g,0,23.84g,0,23mg,1.83mg,335mg,0mcg,0mg
lamb-shoulder-whole-(arm-and-blade-trimmed-to-1-8-fat-choice-grade-cooked-roasted),269,19.08g,7.98g,0,1.56g,7.79g,91mg,66mg,0g,0g,0,22.7g,0,20mg,1.97mg,251mg,0mcg,0mg
lambsquarters,43,0.8g,0.059g,0,0.351g,0.15g,0mg,43mg,7.3g,4g,0,4.2g,0,309mg,1.2mg,452mg,580mcg,80mg
lambsquarters-(without-salt-drained-cooked-boiled),32,0.7g,0.052g,0,0.307g,0.131g,0mg,29mg,5g,2.1g,0.62g,3.2g,0,258mg,0.7mg,288mg,485mcg,37mg
lambs-quarters-(with-salt-drained-cooked-boiled),32,0.7g,0.052g,0,0.307g,0.131g,0mg,265mg,5g,2.1g,0,3.2g,0,258mg,0.7mg,288mg,485mcg,37mg
lamb-variety-meats-and-products,276,23.54g,11.79g,0,0.76g,8.45g,213mg,59mg,0g,0g,0,14.97g,0,162mg,5.9mg,288mg,0mcg,0
lamb-spleen,101,3.1g,1.03g,0,0.23g,0.81g,250mg,84mg,0g,0g,0,17.2g,0,9mg,41.89mg,358mg,0mcg,23mg
lamb-spleen-(cooked-braised),156,4.77g,1.58g,0,0.35g,1.27g,385mg,58mg,0g,0g,0,26.46g,0,13mg,38.67mg,248mg,0mcg,26mg
lamb-tongue,222,17.17g,6.63g,0,1.06g,8.46g,156mg,78mg,0g,0g,0,15.7g,0,9mg,2.65mg,257mg,0mcg,6mg
lamb-tongue-(cooked-braised),275,20.28g,7.83g,0,1.25g,10g,189mg,67mg,0g,0g,0,21.57g,0,10mg,2.63mg,158mg,0mcg,7mg
lard,902,100g,39.2g,0,11.2g,45.1g,95mg,0mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
lard-and-vegetable-oil-shortening,900,100g,40.3g,0,10.9g,44.4g,56mg,0mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
large-cheeseburger,329,17.83g,8.024g,0,1.318g,6.887g,52mg,859mg,25.63g,0,0,16.29g,0mcg,49mg,2.95mg,348mg,100mcg,0mg
large-hamburger,311,16.73g,6.12g,0,1.56g,7.21g,52mg,346mg,23.16g,0,0,16.51g,0mcg,54mg,2.61mg,195mg,0mcg,0mg
large-deep-dish-crust-little-caesars-14-cheese-pizza,263,10.22g,4.237g,0,1.728g,2.757g,23mg,432mg,30.1g,1.3g,3.66g,12.63g,0,224mg,2.31mg,160mg,76mcg,0mg
large-deep-dish-crust-little-caesars-14-pepperoni-pizza,265,10.81g,4.314g,0,1.756g,3.151g,26mg,492mg,29.03g,1.5g,3.39g,12.93g,0,201mg,2.3mg,173mg,65mcg,0mg
large-hamburger-with-condiments-and-vegetables,235,12.55g,4.78g,0,1.01g,5.24g,40mg,378mg,18.35g,0,0,11.85g,0,44mg,2.26mg,220mg,11mcg,1.2mg
large-lima-beans-(mature-seeds),338,0.69g,0.161g,0,0.309g,0.062g,0mg,18mg,63.38g,19g,8.5g,21.46g,0,81mg,7.51mg,1724mg,0mcg,0mg
large-lima-beans-(mature-seeds-without-salt-cooked-boiled),115,0.38g,0.089g,0,0.171g,0.034g,0mg,2mg,20.88g,7g,2.9g,7.8g,0,17mg,2.39mg,508mg,0mcg,0mg
large-lima-beans-(mature-seeds-canned),79,0.17g,0.039g,0,0.074g,0.015g,0mg,336mg,14.91g,4.8g,0,4.93g,0,21mg,1.81mg,220mg,0mcg,0mg
large-lima-beans-(mature-seeds-with-salt-cooked-boiled),115,0.38g,0.089g,0,0.171g,0.034g,0mg,238mg,20.88g,7g,2.9g,7.8g,0,17mg,2.39mg,508mg,0mcg,0mg
lasagna-with-meat-and-sauce-entree-(frozen),127,4.73g,2.245g,0,0.336g,1.781g,15mg,280mg,12.87g,1.2g,0,8.26g,0,102mg,0.85mg,158mg,0,21.5mg
leek-soup-(dry-dehydrated),377,10.9g,5.43g,0,0.44g,4.56g,12mg,5140mg,60.78g,3.6g,0,11.25g,0,167mg,2.1mg,475mg,1mcg,15mg
lebanon-beef-bologna,184,10.44g,2.794g,0,0.258g,4.436g,55mg,1374mg,0.44g,0g,0g,19.03g,0,20mg,2.15mg,330mg,12mcg,0.9mg
laver-seaweed,35,0.28g,0.061g,0,0.11g,0.025g,0mg,48mg,5.11g,0.3g,0.49g,5.81g,0,70mg,1.8mg,356mg,260mcg,39mg
late-harvest-wine,118,0g,0,0,0,0,0,0,13.95g,0,0,0.07g,0,0,0,0,0,0
leather-fruit-bars,351,5.3g,4.02g,0,0.18g,0.63g,0mg,77mg,78.5g,3.5g,0,1.8g,0,29mg,0.8mg,138mg,6mcg,70mg
leather-fruit-pieces,359,2.68g,0.65g,0,0.55g,1.48g,0mg,403mg,82.82g,0g,57.58g,1g,0,18mg,0.75mg,164mg,6mcg,56mg
leather-fruit-rolls,371,3g,0.672g,0,0.552g,1.48g,0mg,317mg,85.8g,0g,49.16g,0.1g,0,32mg,1.01mg,294mg,6mcg,120mg
lasagna-with-meat-and-sauce-entree-(low-fat-frozen),101,2.23g,0.967g,0,0.279g,0.698g,7mg,181mg,13.5g,1.3g,0,6.81g,0,108mg,0.97mg,150mg,0,17.9mg
leek-soup-(prepared-with-water-dehydrated),28,0.81g,0.4g,0,0.03g,0.34g,1mg,380mg,4.5g,1.2g,0.76g,0.83g,0,12mg,0.2mg,35mg,1mcg,1mg
leeks,61,0.3g,0.04g,0,0.166g,0.004g,0mg,20mg,14.15g,1.8g,3.9g,1.5g,0,59mg,2.1mg,180mg,83mcg,12mg
leeks-(bulb-and-lower-leaf-portion)-(without-salt-drained-cooked-boiled),31,0.2g,0.027g,0,0.111g,0.003g,0mg,10mg,7.62g,1g,0,0.81g,0,30mg,1.1mg,87mg,2mcg,4.2mg
leeks-(bulb-and-lower-leaf)-(freeze-dried),321,2.1g,0.279g,0,1.161g,0.029g,0mg,35mg,74.65g,10.4g,0,15.2g,0,360mg,7.6mg,2400mg,14mcg,118mg
leeks-(bulb-and-lower-leaf-portion)-(with-salt-drained-cooked-boiled),31,0.2g,0.027g,0,0.111g,0.003g,0mg,246mg,7.62g,1g,0,0.81g,0,30mg,1.1mg,87mg,2mcg,4.2mg
lemberger-wine,82,0g,0,0,0,0,0,0,2.46g,0,0,0.07g,0,0,0,0,0,0
lemon-danish-pastry,371,18.5g,2.826g,0,1.508g,5.937g,40mg,354mg,47.8g,1.9g,0,5.4g,0,46mg,0.75mg,83mg,53mcg,3.9mg
lemon-drop-archway-home-style-cookies,389,13.85g,3.35g,0,1.11g,5.13g,37mg,395mg,61.66g,1.2g,27.67g,5.15g,0,37mg,2.2mg,83mg,0,0mg
lemon-juice,26,0g,0g,0,0g,0g,0mg,1mg,8.9g,0.4g,2.48g,0.39g,0,7mg,0.03mg,128mg,1mcg,47.4mg
lemon-juice-(canned-or-bottled),22,0.3g,0.039g,0,0.088g,0.011g,0mg,22mg,6.68g,0.4g,2.48g,0.41g,0,11mg,0.13mg,105mg,1mcg,25.6mg
lemon-garlic-flavored-pork-loin-filets-hormel-always-tender,118,4.16g,1.41g,0,0.6g,1.83g,42mg,590mg,1.79g,0,0.22g,17.83g,0,6mg,0.6mg,542mg,0,1.7mg
lemon-grass-(citronella),99,0.49g,0.119g,0,0.17g,0.054g,0mg,6mg,25.31g,0,0,1.82g,0,65mg,8.17mg,723mg,0mcg,2.6mg
lemon-juice-(unsweetened-frozen),23,0.33g,0.044g,0,0.1g,0.012g,0mg,1mg,6.7g,0.4g,2.48g,0.47g,0,8mg,0.12mg,92mg,1mcg,32.5mg
lemon-peel,47,0.3g,0.039g,0,0.089g,0.011g,0mg,6mg,16g,10.6g,4.17g,1.5g,0,134mg,0.8mg,160mg,3mcg,129mg
lemon-meringue-pie-(commercial),268,8.7g,1.766g,0,3.648g,2.685g,45mg,146mg,47.2g,1.2g,23.86g,1.5g,0,56mg,0.61mg,89mg,51mcg,3.2mg
lemon-meringue-pie,285,12.9g,3.185g,0,3.331g,5.582g,53mg,242mg,39.1g,0,0,3.8g,0,12mg,1mg,65mg,43mcg,3.3mg
lemon-pie,316,16.1g,2.457g,0,5.376g,7.449g,0mg,374mg,42.6g,2.6g,0,3g,0,22mg,1.22mg,65mg,2mcg,0mg
lemon-puddings-(dry-mix),363,0.5g,0,0,0,0,0mg,506mg,91.8g,0.1g,0,0.1g,0,5mg,0.17mg,5mg,0mcg,0mg
lemon-puddings,125,3g,0.45g,0,1.14g,1.3g,0mg,140mg,25g,0.1g,0,0.1g,0,2mg,0.07mg,1mg,0mcg,0.1mg
lemon-puddings-(dry-mix-added-oil-potassium-sodium),366,1.5g,0.27g,0,0.72g,0.44g,0mg,849mg,90.3g,0.1g,0,0.1g,0,0,0.17mg,257mg,0mcg,0mg
lemonade-powder,389,0g,0g,0,0g,0g,0mg,0mg,94.44g,0g,94.44g,0g,0,242mg,0.5mg,120mg,0mcg,33.3mg
lemonade-flavor-powder,389,0g,0.003g,0,0g,0g,0mg,139mg,94.44g,0g,94.44g,0.1g,0,83mg,0.11mg,3mg,0mcg,33.3mg
lemon-snaps-archway-home-style-cookies,489,23.54g,5.64g,0,1.27g,8.86g,23mg,378mg,64.77g,1.1g,28.38g,5.02g,0,30mg,2.14mg,77mg,0,0mg
lemon-puddings-(instant-dry-mix-with-2%25-milk),107,1.71g,0.974g,0,0.101g,0.484g,6mg,268mg,20.2g,0g,0,2.76g,1mcg,101mg,0.06mg,130mg,46mcg,0.8mg
lemon-puddings-(instant-dry-mix),378,0.7g,0.1g,0,0.25g,0.28g,0mg,1332mg,95.4g,0g,0,0g,0,2mg,0.08mg,8mg,0mcg,0mg
lemon-puddings-(instant-dry-mix-with-whole-milk),115,2.9g,1.74g,0,0.15g,0.85g,11mg,267mg,20.1g,0g,0,2.7g,0,99mg,0.06mg,127mg,24mcg,0.8mg
lemonade-powder-(with-aspartame-low-calorie),332,0.3g,0.039g,0,0.09g,0.01g,0mg,10mg,83.7g,0.1g,0g,3.6g,0,3098mg,5.7mg,11mg,0mcg,394mg
lemonade-powder-(with-aspartame-low-calorie-with-water),2,0g,0g,0,0.001g,0g,0mg,2mg,0.52g,0g,0g,0.02g,0,22mg,0.04mg,0mg,0mcg,2.5mg
lemons-(with-peel),20,0.3g,0.039g,0,0.089g,0.011g,0mg,3mg,10.7g,4.7g,0,1.2g,0,61mg,0.7mg,145mg,2mcg,77mg
lemon-lime-soda-(with-caffeine),43,0g,0g,0,0g,0g,0mg,10mg,10.85g,0g,10.61g,0.09g,0,2mg,0.02mg,1mg,0mcg,0mg
lemonade-powder-(with-water),39,0g,0g,0,0.001g,0g,0mg,4mg,10.17g,0g,10.17g,0g,0,27mg,0.06mg,12mg,0mcg,3.2mg
lemonade-flavor-drink-(powder-with-water),42,0g,0.017g,0,0.004g,0.002g,0mg,7mg,10.8g,0g,0,0g,0,11mg,0.02mg,1mg,0mcg,12.8mg
lentil-with-ham-soup-(canned),56,1.12g,0.45g,0,0.13g,0.52g,3mg,532mg,8.16g,0,0,3.74g,0,17mg,1.07mg,144mg,7mcg,1.7mg
lemons-(without-peel),29,0.3g,0.039g,0,0.089g,0.011g,0mg,2mg,9.32g,2.8g,2.5g,1.1g,0,26mg,0.6mg,138mg,1mcg,53mg
lentils,353,1.06g,0.156g,0,0.516g,0.189g,0mg,6mg,60.08g,30.5g,2.03g,25.8g,0,56mg,7.54mg,955mg,2mcg,4.4mg
lentils-(mature-seeds-without-salt-cooked-boiled),116,0.38g,0.053g,0,0.175g,0.064g,0mg,2mg,20.13g,7.9g,1.8g,9.02g,0,19mg,3.33mg,369mg,0mcg,1.5mg
lentils-(mature-seeds-with-salt-cooked-boiled),116,0.38g,0.053g,0,0.175g,0.064g,0mg,238mg,20.13g,7.9g,1.8g,9.02g,0,19mg,3.33mg,369mg,0mcg,1.5mg
lenders-bign-crusty-blueberry-bagel,252,0.9g,0.2g,0,0.5g,0.1g,0mg,481mg,53.96g,2g,11.23g,9.26g,0,13mg,3.7mg,86mg,0,0mg
lenders-premium-refrigerated-blueberry-bagels,258,1.63g,0.33g,0,0.53g,0.43g,0mg,505mg,52.51g,2.5g,9.86g,10.43g,0,15mg,2.03mg,162mg,0,0mg
lenders-bagel-shop-blueberry-bagels,259,1.5g,0.3g,0,0.5g,0.4g,0mg,419mg,52.33g,1.7g,9.43g,10.5g,0,56mg,1.8mg,155mg,0,0mg
light-and-dark-meat-smoked-sliced-chicken-carl-buddig,165,10.1g,2.6g,0,2.1g,0,954mg,0.7g,0g,53mg,0,17.9g,0,124mg,1.56mg,256mg,0,0
light-and-dark-meat-smoked-sliced-turkey-carl-buddig,160,9.1g,3.1g,0,2.7g,0,1096mg,1.8g,0g,57mg,0,17.5g,0,60mg,1.84mg,329mg,0,0
lentils-(sprouted),106,0.55g,0.057g,0,0.219g,0.104g,0mg,11mg,22.14g,0,0,8.96g,0,25mg,3.21mg,322mg,2mcg,16.5mg
lentils-(sprouted-without-salt-drained-cooked-boiled),101,0.45g,0.053g,0,0.201g,0.095g,0mg,10mg,21.25g,0,0,8.8g,0,14mg,3.1mg,284mg,2mcg,12.6mg
lentils-(sprouted-with-salt-stir-fried-cooked),101,0.45g,0.053g,0,0.201g,0.095g,0mg,246mg,21.25g,0,0,8.8g,0,14mg,3.1mg,284mg,2mcg,12.6mg
light-beer,29,0g,0g,0,0g,0g,0mg,4mg,1.64g,0g,0.09g,0.24g,0,4mg,0.03mg,21mg,0mcg,0mg
light-butter-(stick-with-salt),499,55.1g,34.321g,0,2.046g,15.927g,106mg,450mg,0g,0g,0g,3.3g,0,48mg,1.09mg,71mg,465mcg,0mg
light-butter-(stick-without-salt),499,55.1g,34.321g,0,2.046g,15.927g,106mg,36mg,0g,0g,0g,3.3g,0,48mg,1.09mg,71mg,465mcg,0mg
light-mayonnaise,324,33.09g,5.209g,0.107g,17.953g,8.135g,35mg,673mg,8.2g,0g,4.34g,0.88g,0,8mg,0.32mg,40mg,21mcg,0mg
light-chocolate-ice-creams,199,7.19g,4.38g,0,0.241g,2.055g,28mg,71mg,29.04g,0.8g,24.71g,5g,0mcg,159mg,0.69mg,170mg,71mcg,1.2mg
light-chocolate-ice-creams-(no-added-sugar),152,5.74g,3.61g,0,0.527g,0.93g,16mg,75mg,25.4g,0.9g,5.43g,3.54g,0,121mg,0.48mg,196mg,75mcg,0.7mg
light-corn-syrup,283,0.2g,0g,0,0g,0g,0mg,62mg,76.79g,0g,26.77g,0g,0,13mg,0mg,1mg,0mcg,0mg
light-meat-chicken-roll,154,7.38g,1.97g,0,1.53g,2.92g,50mg,584mg,2.44g,0g,0g,19.53g,0,43mg,0.97mg,228mg,24mcg,0mg
light-tuna-fish-(drained-solids-in-oil-canned),198,8.21g,1.534g,0,2.885g,2.949g,18mg,354mg,0g,0g,0g,29.13g,6mcg,13mg,1.39mg,207mg,23mcg,0mg
light-tuna-fish-(drained-solids-in-water-canned),116,0.82g,0.234g,0,0.337g,0.159g,30mg,338mg,0g,0g,0g,25.51g,0,11mg,1.53mg,237mg,17mcg,0mg
light-tuna-fish-(drained-solids-in-oil-without-salt-canned),198,8.21g,1.534g,0,2.885g,2.949g,18mg,50mg,0g,0g,0,29.13g,0,13mg,1.39mg,207mg,23mcg,0mg
light-tuna-fish-(drained-solids-in-water-without-salt-canned),116,0.82g,0.234g,0,0.337g,0.159g,30mg,50mg,0g,0g,0g,25.51g,0,11mg,1.53mg,237mg,17mcg,0mg
light-vanilla-ice-creams,165,4.83g,2.927g,0,0.219g,1.281g,27mg,74mg,25.8g,0.3g,22.12g,4.78g,1mcg,161mg,0.19mg,208mg,128mcg,1.2mg
light-vanilla-ice-creams-(no-added-sugar),155,7.45g,4.048g,0,0.74g,1.855g,27mg,96mg,21.42g,0.7g,6.46g,3.97g,0,136mg,0.19mg,196mg,86mcg,0.9mg
light-rye-flour,367,1.36g,0.145g,0,0.565g,0.153g,0mg,2mg,80.23g,14.6g,1.04g,8.39g,0,21mg,1.8mg,233mg,0mcg,0mg
light)-wieners-(beef-franks-oscar-mayer,193,14.9g,6.32g,0,0.99g,7.52g,49mg,1079mg,4.1g,0g,2.1g,10.7g,0,21mg,1.56mg,401mg,0,0mg
lightly-frosted-bran-flakes-with-strawberries-malt-o-meal-cereals-ready-to-eat,390,2.05g,0.474g,0.01g,1.1g,0.395g,1mg,544mg,84.3g,13.6g,31.5g,8.7g,4mcg,47mg,34.2mg,548mg,1532mcg,65.4mg
lima-beans-(immature-seeds),113,0.86g,0.198g,0,0.419g,0.05g,0mg,8mg,20.17g,4.9g,1.48g,6.84g,0,34mg,3.14mg,467mg,15mcg,23.4mg
lima-beans-(immature-seeds-baby-with-salt-drained-cooked-boiled),103,0.34g,0.077g,0,0.163g,0.02g,0mg,289mg,19.32g,5.8g,1.34g,6.07g,0,30mg,1.82mg,304mg,10mcg,12.8mg
light-vanilla-ice-creams-(soft-serve),126,2.6g,1.63g,0,0.1g,0.76g,12mg,70mg,21.8g,0g,10.84g,4.9g,0,157mg,0.06mg,221mg,29mcg,0.9mg
light-wine,50,0g,0g,0,0g,0g,0mg,7mg,1.17g,0g,1.15g,0.07g,0,9mg,0.4mg,88mg,0mcg,0mg
lima-beans-(immature-seeds-baby-without-salt-drained-cooked-boiled),105,0.3g,0.068g,0,0.145g,0.017g,0mg,29mg,19.45g,6g,1.37g,6.65g,0,28mg,1.96mg,411mg,8mcg,5.8mg
lima-beans-(immature-seeds-fordhook-frozen),106,0.35g,0.081g,0,0.172g,0.021g,0mg,58mg,19.83g,5.5g,1.39g,6.4g,0,24mg,1.51mg,478mg,11mcg,19.3mg
lima-beans-(immature-seeds-solids-and-liquids-canned),71,0.29g,0.066g,0,0.139g,0.016g,0mg,252mg,13.33g,3.6g,0,4.07g,0,28mg,1.61mg,285mg,8mcg,7.3mg
lima-beans-(immature-seeds-fordhook-without-salt-frozen-drained-cooked-boiled),103,0.34g,0.077g,0,0.163g,0.02g,0mg,69mg,19.32g,5.8g,1.34g,6.07g,0,30mg,1.82mg,304mg,10mcg,12.8mg
lima-beans-(immature-seeds-no-salt-added-solids-and-liquids-canned),71,0.29g,0.066g,0,0.139g,0.016g,0mg,4mg,13.33g,3.6g,0.93g,4.07g,0,28mg,1.61mg,285mg,8mcg,8.7mg
lima-beans-(immature-seeds-fordhook-with-salt-frozen-drained-cooked-boiled),105,0.3g,0.068g,0,0.145g,0.017g,0mg,265mg,19.45g,6g,1.37g,6.65g,0,28mg,1.96mg,411mg,8mcg,5.8mg
limburger-cheese,327,27.25g,16.746g,0,0.495g,8.606g,90mg,800mg,0.49g,0g,0.49g,20.05g,0,497mg,0.13mg,128mg,340mcg,0mg
limes,30,0.2g,0.022g,0,0.055g,0.019g,0mg,2mg,10.54g,2.8g,1.69g,0.7g,0,33mg,0.6mg,102mg,2mcg,29.1mg
lime-juice,26,0.07g,0.008g,0,0.024g,0.008g,0mg,2mg,8.77g,0.4g,1.76g,0.44g,0,15mg,0.09mg,122mg,2mcg,31.2mg
lime-juice-(unsweetened-canned-or-bottled),22,0.24g,0.027g,0,0.067g,0.023g,0mg,17mg,6.97g,0.4g,1.43g,0.26g,0,12mg,0.24mg,78mg,1mcg,6.7mg
lima-beans-(immature-seeds-without-salt-drained-cooked-boiled),123,0.32g,0.073g,0,0.154g,0.019g,0mg,17mg,23.64g,5.3g,1.63g,6.81g,0,32mg,2.45mg,570mg,19mcg,10.1mg
lima-beans-(immature-seeds-with-salt-drained-cooked-boiled),123,0.32g,0.073g,0,0.154g,0.019g,0mg,253mg,23.64g,5.3g,1.63g,6.81g,0,32mg,2.45mg,570mg,19mcg,10.1mg
limeade-(frozen-concentrate),304,0g,0g,0,0g,0g,0mg,0mg,76.71g,0g,73.8g,0g,0,0mg,0mg,53mg,0mcg,17.4mg
limeade-(frozen-concentrate-with-water),42,0.01g,0g,0,0g,0g,0mg,2mg,10.57g,0g,8.96g,0.04g,0,3mg,0.01mg,9mg,0mcg,2.4mg
ling-(fish),87,0.64g,0.12g,0,0.22g,0.09g,40mg,135mg,0g,0g,0,18.99g,0,34mg,0.65mg,379mg,30mcg,0mg
lingcod-(fish),85,1.06g,0.197g,0,0.3g,0.35g,52mg,59mg,0g,0g,0,17.66g,0,14mg,0.32mg,437mg,15mcg,0mg
ling-(fish)-(cooked-dry-heat),111,0.82g,0,0,0,0,51mg,173mg,0g,0g,0,24.35g,0,44mg,0.83mg,486mg,35mcg,0mg
lingcod-(fish)-(cooked-dry-heat),109,1.36g,0.255g,0,0.383g,0.447g,67mg,76mg,0g,0g,0,22.64g,0,18mg,0.41mg,560mg,17mcg,0mg
lingcod-meat-(alaska-native),79,0.8g,0,0,0,0,0,59mg,0g,0,0,17.9g,0,0,0,433mg,0,0
lingcod-liver-(alaska-native),424,42g,0,0,0,0,0,0,6g,0,0,5.6g,0,5mg,1mg,0,0,0mg
liqueur-coffee-(53-proof),395,0.35g,0.125g,0,0.124g,0.026g,0mg,9mg,55.07g,0g,54.64g,0.12g,0,1mg,0.07mg,35mg,0mcg,0mg
liqueur-coffee-(63-proof),362,0.35g,0.125g,0,0.124g,0.026g,0mg,9mg,37.89g,0g,37.89g,0.12g,0,1mg,0.07mg,35mg,0mcg,0mg
liquid-concentrate-prosobee-lipil-enfamil-mead-johnson-infant-formula,128,6.79g,2.906g,0,1.34g,2.509g,0mg,45mg,13.58g,0g,13.58g,3.19g,2mcg,134mg,2.3mg,153mg,113mcg,15.3mg
liquid-concentrate-with-iron-good-start-2-essentials-nestle-infant-formula,135,5.53g,2.459g,0,1.348g,1.758g,2mg,53mg,17.8g,0g,12.84g,3.51g,0,162mg,2.43mg,182mg,106mcg,11.9mg
liquid-concentrate-with-iron-good-start-essentials-soy-nestle-infant-formula,136,6.9g,2.973g,0,1.398g,2.155g,0mg,49mg,14.97g,0g,3.72g,3.4g,0,141mg,2.43mg,155mg,110mcg,16.1mg
liqueur-coffee-with-cream-(34-proof),344,16.51g,10.163g,0,0.704g,4.688g,61mg,97mg,21.98g,0g,20.78g,2.94g,0,17mg,0.14mg,34mg,182mcg,0.2mg
liquid-concentrate-with-iron-good-start-supreme-nestle-infant-formula,135,6.9g,3.153g,0,1.508g,2.187g,14mg,36mg,15.08g,0g,10.3g,2.96g,0,86mg,2.02mg,145mg,121mcg,11.7mg
liquid-concentrate-with-iron-isomil-ross-infant-formula,136,7.41g,2.402g,0,1.725g,2.824g,0mg,59mg,14.03g,0g,13.91g,3.32g,2mcg,142mg,2.44mg,147mg,121mcg,12.2mg
litchis,66,0.44g,0.099g,0,0.132g,0.12g,0mg,1mg,16.53g,1.3g,15.23g,0.83g,0,5mg,0.31mg,171mg,0mcg,71.5mg
liquid-ensure-fiber-with-fos,97,2.38g,0.201g,0,0.722g,1.276g,0mg,78mg,16.36g,1.1g,4.68g,3.43g,0,136mg,1.75mg,144mg,144mcg,11.7mg
lite-firm-silken-tofu,37,0.8g,0.133g,0,0.449g,0.136g,0mg,85mg,1.1g,0g,0.45g,6.3g,0,36mg,0.75mg,63mg,0mcg,0mg
lite-extra-firm-silken-tofu,38,0.7g,0.116g,0,0.395g,0.118g,0mg,98mg,1g,0g,0.42g,7g,0,43mg,0.79mg,57mg,0mcg,0mg
liquid-pectin,11,0g,0g,0,0g,0g,0mg,0mg,2.1g,2.1g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
liquid-nutrition-ensure-plus,150,4.81g,0.717g,0,3.314g,1.367g,2mg,101mg,21.17g,0g,21.17g,5.5g,1mcg,84mg,1.91mg,186mg,159mcg,12.7mg
liver-pate-(canned),319,28g,9.57g,0,3.16g,12.36g,255mg,697mg,1.5g,0g,0,14.2g,0,70mg,5.5mg,138mg,991mcg,2mg
liverwurst-spread,305,25.45g,9.925g,0,2.427g,12.286g,118mg,700mg,5.89g,2.5g,1.65g,12.38g,0,22mg,8.85mg,170mg,4091mcg,3.5mg
loganberries-(frozen),55,0.31g,0.011g,0,0.176g,0.03g,0mg,1mg,13.02g,5.3g,7.7g,1.52g,0,26mg,0.64mg,145mg,2mcg,15.3mg
