Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
pork-spareribs-(whole),286,23.6g,8.93g,0,2.15g,10.21g,78mg,76mg,0g,0g,0g,17.09g,0,31mg,0.99mg,259mg,3mcg,0mg
pork-spareribs-(whole-cooked-braised),397,30.3g,11.12g,0,2.73g,13.48g,121mg,93mg,0g,0g,0g,29.06g,0,47mg,1.85mg,320mg,3mcg,0mg
pork-spleen,100,2.59g,0.86g,0,0.19g,0.69g,363mg,98mg,0g,0g,0,17.86g,0,10mg,22.32mg,396mg,0mcg,28.5mg
pork-spleen-(cooked-braised),149,3.2g,1.06g,0,0.23g,0.86g,504mg,107mg,0g,0g,0,28.2g,0,13mg,22.23mg,227mg,0mcg,11.6mg
pork-stomach,159,10.14g,4.025g,0.13g,0.892g,3.59g,223mg,75mg,0g,0g,0g,16.85g,0,11mg,1.01mg,140mg,0mcg,0mg
pork-tail,378,33.5g,11.64g,0,3.68g,15.8g,97mg,63mg,0g,0g,0,17.75g,0,18mg,0.99mg,349mg,0mcg,0mg
pork-tail-(cooked-simmered),396,35.8g,12.45g,0,3.94g,16.89g,129mg,25mg,0g,0g,0,17g,0,14mg,0.79mg,157mg,0mcg,0mg
pork-stomach-(cooked-simmered),157,7.26g,2.99g,0.11g,0.738g,2.126g,316mg,40mg,0.09g,0g,0g,21.4g,0,15mg,1.23mg,85mg,0mcg,0mg
pork-trimmed-retail-cuts-(leg-loin-and-shoulder-lean-only),143,5.88g,2.03g,0,0.63g,2.66g,61mg,57mg,0g,0g,0g,21.07g,0,16mg,0.91mg,380mg,2mcg,0.7mg
pork-trimmed-retail-cuts-(leg-loin-and-shoulder-lean-only-cooked),212,9.66g,3.41g,0,0.75g,4.35g,86mg,59mg,0g,0g,0g,29.27g,0,21mg,1.1mg,375mg,2mcg,0.3mg
pork-tongue,225,17.2g,5.96g,0,1.78g,8.13g,101mg,110mg,0g,0g,0g,16.3g,0,16mg,3.35mg,243mg,0mcg,4.4mg
pork-tongue-(cooked-braised),271,18.6g,6.449g,0,1.93g,8.759g,146mg,109mg,0g,0g,0,24.1g,0,19mg,4.99mg,237mg,0mcg,1.7mg
pork-trimmed-retail-cuts-(leg-loin-shoulder-and-spareribs),216,14.95g,5.28g,0,1.55g,6.63g,67mg,55mg,0g,0g,0,18.95g,0,19mg,0.86mg,335mg,2mcg,0.5mg
pork-trimmed-retail-cuts-(leg-loin-shoulder-and-spareribs-cooked),1408,99.58g,35.07g,0,10.1g,44.24g,436mg,332mg,0g,0g,0g,118.82g,0,100mg,5.55mg,1974mg,12mcg,3.3mg
pork-trimmed-retail-cuts-(loin-and-shoulder-blade),200,12.9g,4.47g,0,1.37g,5.75g,64mg,51mg,0g,0g,0g,19.53g,0,19mg,0.82mg,352mg,2mcg,0.6mg
pork-trimmed-retail-cuts-(loin-and-shoulder-blade-cooked),252,14.76g,5.3g,0,1.18g,6.55g,86mg,57mg,0g,0g,0g,27.78g,0,24mg,0.99mg,362mg,2mcg,0.3mg
port-de-salut-cheese,352,28.2g,16.691g,0,0.729g,9.338g,123mg,534mg,0.57g,0g,0.57g,23.78g,0,650mg,0.43mg,136mg,315mcg,0mg
pork-turkey-and-beef-bologna,333,29.25g,11.7g,0,2.512g,12.789g,75mg,1055mg,6.66g,0g,1.35g,11.56g,0,31mg,1.2mg,222mg,0mcg,11mg
pork-trimmed-retail-cuts-(loin-and-shoulder-blade-lean-only),144,5.88g,2.03g,0,0.63g,2.66g,60mg,54mg,0g,0g,0,21.23g,0,17mg,0.88mg,384mg,2mcg,0.6mg
pork-trimmed-retail-cuts-(loin-and-shoulder-blade-lean-only-cooked),211,9.44g,3.34g,0,0.71g,4.22g,85mg,57mg,0g,0g,0,29.47g,0,22mg,1.07mg,377mg,2mcg,0.4mg
portion-fat-free)-turkey-breast-(oven-roasted-louis-rich,90,0.7g,0.207g,0,0.133g,0.199g,40mg,1177mg,1.9g,0g,0.4g,19.1g,0,17mg,1.11mg,268mg,0,0mg
portion-fat-free)-turkey-breast-(smoked-louis-rich,93,0.8g,0.234g,0,0.163g,0.219g,41mg,1288mg,2.2g,0g,0.6g,19.3g,0,16mg,1.12mg,288mg,0,0mg
post-banana-nut-crunch-cereal-kraft-cereals-ready-to-eat,422,10.3g,1.4g,0,0,0,0mg,428mg,74g,6.8g,20.4g,8.5g,2mcg,36mg,27.46mg,290mg,0,0.2mg
post-blueberry-morning-cereal-kraft-cereals-ready-to-eat,383,4.5g,0.6g,0,0,0,0mg,484mg,78.9g,3.8g,20.8g,6.6g,2mcg,27mg,3.27mg,166mg,0,0mg
post-bran-flakes-kraft-cereals-ready-to-eat,320,2.2g,0.4g,0,0,0,0mg,732mg,80.4g,17.6g,18.9g,9.4g,3mcg,56mg,27mg,616mg,0,0mg
post-100%25-bran-cereal-kraft-cereals-ready-to-eat,287,2.1g,0.3g,0,0,0,0mg,417mg,78.2g,28.6g,24.4g,12.7g,0mcg,76mg,27.93mg,947mg,0,0mg
portabella-mushrooms-(grilled),35,0.75g,0.05g,0,0.2g,0g,0mg,10mg,5.08g,2.4g,0g,4.09g,0,4mg,0.56mg,521mg,0mcg,0mg
portabella-mushrooms,26,0.2g,0.026g,0,0.078g,0.003g,0mg,6mg,5.07g,1.5g,1.8g,2.5g,0,8mg,0.6mg,484mg,0mcg,0mg
post-cocoa-pebbles-cereal-kraft-cereals-ready-to-eat,398,4.2g,3.7g,0,0,0,0mg,541mg,87.9g,1.6g,44g,3.5g,3mcg,12mg,6.21mg,146mg,0,0mg
post-fruity-pebbles-cereal-kraft-cereals-ready-to-eat,401,3.9g,0.9g,0,0,0,0mg,584mg,87.9g,0.7g,44g,3.6g,4mcg,5mg,6.67mg,110mg,0,0mg
post-frosted-alpha-bits-cereal-kraft-cereals-ready-to-eat,405,4.1g,0.8g,0,0,0,0mg,661mg,83.5g,4.1g,39g,8.5g,3mcg,30mg,8.44mg,194mg,0,0mg
post-golden-crisp-cereal-kraft-cereals-ready-to-eat,398,1.4g,0.2g,0,0,0,0mg,150mg,90.9g,0g,53.9g,5.5g,4mcg,15mg,6.67mg,125mg,0,0mg
post-grape-nuts-cereal-kraft-cereals-ready-to-eat,359,1.9g,0.4g,0,0,0,0mg,610mg,81.3g,8.7g,12g,10.8g,2mcg,34mg,27.93mg,307mg,0,0mg
post-frosted-shredded-wheat-bite-size-cereal-kraft-cereals-ready-to-eat,352,1.9g,0.3g,0,0,0,0mg,19mg,83.8g,9.6g,22.3g,7.8g,0mcg,13mg,3.46mg,327mg,0,0mg
post-grape-nuts-flakes-kraft-cereals-ready-to-eat,365,2.9g,0.6g,0,0,0,0mg,482mg,81.5g,8.8g,17.6g,10g,3mcg,39mg,27.93mg,340mg,0,0mg
post-great-grains-crunchy-pecan-cereal-kraft-cereals-ready-to-eat,408,11.8g,1.4g,0,0,0,0mg,403mg,71.4g,7g,15.3g,9.3g,2mcg,28mg,5.09mg,321mg,0,0.2mg
post-marshmallow-alpha-bits-cereal-kraft-cereals-ready-to-eat,398,3.3g,0.6g,0,0,0,0mg,711mg,86.7g,1.7g,43.5g,5.9g,3mcg,14mg,9.31mg,100mg,0,0mg
post-honey-bunches-of-oats-honey-roasted-cereal-kraft-cereals-ready-to-eat,394,5.5g,0.8g,0,0,0,0mg,642mg,81.9g,4.9g,21.5g,7.1g,3mcg,21mg,27mg,172mg,0,0mg
post-honey-bunches-of-oats-with-almonds-cereal-kraft-cereals-ready-to-eat,407,8.5g,1.1g,0,0,0,0mg,603mg,78g,4.5g,21g,7.8g,3mcg,37mg,26.13mg,227mg,0,0.1mg
post-honeycomb-cereal-kraft-cereals-ready-to-eat,395,2.1g,0.6g,0,0,0,0mg,743mg,88.9g,2.5g,38.3g,5.2g,3mcg,17mg,9.31mg,120mg,0,0mg
post-raisin-bran-cereal-kraft-cereals-ready-to-eat,317,2.5g,0.39g,0,1.05g,0.46g,0mg,489mg,76.84g,12.1g,28.06g,9.33g,2mcg,54mg,24mg,613mg,382mcg,8mg
post-oreo-os-cereal-kraft-cereals-ready-to-eat,415,8.8g,1.6g,0,0,0,0mg,475mg,79.7g,5.5g,42.4g,4.8g,4mcg,19mg,6.67mg,183mg,0,0mg
post-toasties-corn-flakes-kraft-cereals-ready-to-eat,360,0.1g,0g,0,0,0,0mg,949mg,86.7g,4.5g,6.5g,6.7g,4mcg,3mg,19.29mg,117mg,0,0mg
post-the-original-shredded-wheat-n-bran-cereal-kraft-cereals-ready-to-eat,334,1.4g,0.2g,0,0,0,0mg,5mg,79.9g,13.4g,1g,12.5g,0mcg,45mg,4.18mg,420mg,0,0mg
post-the-original-shredded-wheat-spoon-size-cereal-kraft-cereals-ready-to-eat,340,1.1g,0.2g,0,0,0,0mg,7mg,83g,11.4g,0.9g,10.3g,0mcg,43mg,3.18mg,415mg,0,0mg
